Frame,alignment,cohesion,collisionCount,neighbourhoodSize,separation,visibleSize,polerization
363,100.435534,11911.714748,616.000000,12.320000,0.792160,12.320000,0.168865
364,104.083793,11903.260079,616.000000,12.320000,0.806590,12.320000,0.162013
365,99.300586,11911.507193,616.000000,12.320000,0.768193,12.320000,0.148751
366,104.005567,11903.408063,616.000000,12.320000,0.856137,12.320000,0.130817
367,98.831124,11911.549827,616.000000,12.320000,0.767641,12.320000,0.108446
368,104.012480,11903.560504,616.000000,12.320000,0.918774,12.320000,0.080686
369,99.496922,11911.884725,616.000000,12.320000,0.738898,12.320000,0.050621
370,101.962042,11903.441955,616.000000,12.320000,0.901788,12.320000,0.018135
371,100.701813,11912.544151,616.000000,12.320000,0.759027,12.320000,0.013659
372,100.402732,11903.090438,616.000000,12.320000,0.836561,12.320000,0.035640
373,102.465269,11913.213649,616.000000,12.320000,0.776264,12.320000,0.049814
374,99.680519,11902.594955,616.000000,12.320000,0.839225,12.320000,0.056880
375,102.735357,11913.253400,616.000000,12.320000,0.809996,12.320000,0.060413
376,98.824123,11902.692019,616.000000,12.320000,0.811297,12.320000,0.064536
377,103.189487,11912.651930,616.000000,12.320000,0.853783,12.320000,0.061224
378,100.177230,11903.910810,616.000000,12.320000,0.823321,12.320000,0.057322
379,102.155136,11911.783687,616.000000,12.320000,0.797641,12.320000,0.052609
380,101.175083,11905.538158,616.000000,12.320000,0.839843,12.320000,0.044984
381,100.106441,11910.279578,616.000000,12.320000,0.739876,12.320000,0.035184
382,102.405798,11906.807543,616.000000,12.320000,0.846763,12.320000,0.034057
383,99.727481,11908.734297,616.000000,12.320000,0.714570,12.320000,0.037337
384,103.087870,11907.748828,616.000000,12.320000,0.891353,12.320000,0.041769
385,98.767193,11908.095225,616.000000,12.320000,0.700098,12.320000,0.052266
386,103.775314,11907.848497,616.000000,12.320000,0.882395,12.320000,0.063507
387,98.594234,11908.272896,616.000000,12.320000,0.731816,12.320000,0.069031
388,103.026859,11907.133769,616.000000,12.320000,0.819714,12.320000,0.067088
389,99.727090,11908.683103,616.000000,12.320000,0.711308,12.320000,0.064581
390,101.638287,11906.460363,616.000000,12.320000,0.782178,12.320000,0.048366
391,99.945982,11908.920293,616.000000,12.320000,0.736095,12.320000,0.037059
392,102.683710,11906.001171,616.000000,12.320000,0.729133,12.320000,0.027356
393,101.160075,11908.937690,616.000000,12.320000,0.788239,12.320000,0.019999
394,102.946372,11906.804308,616.000000,12.320000,0.726800,12.320000,0.018805
395,100.682165,11908.347332,616.000000,12.320000,0.785321,12.320000,0.018697
396,104.920812,11908.026131,616.000000,12.320000,0.729960,12.320000,0.028114
397,100.392015,11907.049928,616.000000,12.320000,0.749991,12.320000,0.031205
398,104.955370,11908.735492,616.000000,12.320000,0.687797,12.320000,0.027689
399,100.588601,11906.488481,616.000000,12.320000,0.706644,12.320000,0.029657
400,104.974875,11909.060980,616.000000,12.320000,0.738724,12.320000,0.031953
401,103.013369,11906.589148,616.000000,12.320000,0.684091,12.320000,0.034518
402,104.068706,11908.235450,616.000000,12.320000,0.750844,12.320000,0.047762
403,104.184626,11907.900515,616.000000,12.320000,0.731231,12.320000,0.055181
404,103.727802,11906.208694,616.000000,12.320000,0.758362,12.320000,0.066132
405,104.668736,11909.696404,616.000000,12.320000,0.744348,12.320000,0.067834
406,103.246211,11903.846836,616.000000,12.320000,0.764072,12.320000,0.070459
407,105.360946,11911.273795,616.000000,12.320000,0.755798,12.320000,0.067990
408,102.711167,11902.477877,616.000000,12.320000,0.728768,12.320000,0.073400
409,107.069716,11912.455675,616.000000,12.320000,0.802375,12.320000,0.063785
410,103.598948,11902.248731,616.000000,12.320000,0.772244,12.320000,0.055764
411,106.710522,11912.287163,616.000000,12.320000,0.790140,12.320000,0.052434
412,104.240812,11903.460347,616.000000,12.320000,0.825148,12.320000,0.050833
413,105.886468,11910.467906,616.000000,12.320000,0.789484,12.320000,0.062652
414,105.139491,11905.305185,616.000000,12.320000,0.830130,12.320000,0.070802
